nid,title,uuid,field_leg_hosting_site_value,field_leg_hosting_master_stage_value,HMS_UUID,HMS_Value,Acquia_Hosting_Product,field_leg_remote_admin_value,field_active_value,field_ra_pref_update_value,RA_Pref_Update_UUID,date,docroot,realm,prod_env_core,ra_env_core,Prod Formatted Version,RA Formatted Version,Prod Major Version,Prod Release,Prod Secure,RA Major Version,RA Release,RA Secure,Prod Current,RA Current,RA Pref
8537361,cbgroupsdx,c190f70f-4813-49d5-bc52-bd14573aed63,cbgroupsdx,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,cbgroupsdx,prod,884,111,8.8.4,1.1.1,8.x,2020-03-18,0,,,0,,,Update
8537431,National Advanced Mobility Consortium,5e68c370-1dd1-4794-aa40-47fed4b5c2f0,namc,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,namc,prod,778,780,7.78,7.80,7.x,2021-01-20,0,7.x,2021-04-21,1,,,Update
8539086,pfviagraca,f423d039-331f-44bc-8e00-0e053c0b8864,pfviagraca,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,none,f423d039-331f-44bc-8e00-0e053c0b8864,2021-06-08,pfviagraca,prod,111,111,1.1.1,1.1.1,,,0,,,0,,,
8539336,nylabor,ef990024-3417-4155-8408-49b946380b15,nylabor,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,nylabor,prod,8911,111,8.9.11,1.1.1,8.x,2020-12-03,0,,,0,,,Update
8539366,iCrossing,80953c4d-6bbb-4733-a7d8-5d326a8b2191,icrossing,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,icrossing,prod,333,918,3.3.3,9.1.8,,,0,9.x,2021-05-05,0,,,Update
8539401,Darden Portal,066db202-1294-4d74-95e9-91f02aaa328a,dardenportal,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,dardenportal,prod,111,111,1.1.1,1.1.1,,,0,,,0,,,
8540156,Abf Used Equipment,07e03d3d-b450-4d82-8ccd-42bef11533d2,abfusedequip,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,abfusedequip,prod,8916,111,8.9.16,1.1.1,8.x,2021-05-26,1,,,0,x,,Update
8540416,cyfraithcymru,92d9a089-84e3-4e8f-8389-c4a5890cc751,cyfraithcymru,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,cyfraithcymru,prod,8916,111,8.9.16,1.1.1,8.x,2021-05-26,1,,,0,x,,Update
8540851,City of Surrey - Festival Sites,1eeed324-7fbc-4fc2-9582-fa2aefa3b2e7,festivalsites,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,festivalsites,prod,919,111,9.1.9,1.1.1,9.x,2021-05-26,1,,,0,,,Update
8541301,JNJ MD APAC B30 D11 - connectedhealth.sea.jnjinstitute.com,5facf338-5988-4b83-b79c-3906fe4ae6a7,jnjapacb30d11,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,jnjapacb30d11,prod,881,897,8.8.1,8.9.7,8.x,2019-12-18,0,8.x,2020-10-07,0,,,Update
